,Start,Exit
0,15/05/2018 10:18,15/05/2018 10:18
1,15/05/2018 10:18,15/05/2018 10:18
2,15/05/2018 10:18,15/05/2018 10:19
3,15/05/2018 10:19,15/05/2018 10:19
4,15/05/2018 10:19,15/05/2018 10:19
5,15/05/2018 10:19,15/05/2018 10:20
